year,location,event,athlete,country,medal,timeFormat,altitude
1924,"Chamonix, France",500m Men,Charles Jewtraw,USA,GOLD,00:44.00,1035
1924,"Chamonix, France",500m Men,Oskar Olsen,NOR,SILVER,00:44.20,1035
1924,"Chamonix, France",500m Men,Roald Larsen,NOR,BRONZE,00:44.80,1035
1924,"Chamonix, France",500m Men,Clas Thunberg,FIN,BRONZE,00:44.80,1035
1924,"Chamonix, France",1500m Men,Clas Thunberg,FIN,GOLD,02:20.00,1035
1924,"Chamonix, France",1500m Men,Roald Larsen,NOR,SILVER,02:22.00,1035
1924,"Chamonix, France",1500m Men,Sigurd Moen,NOR,BRONZE,02:25.00,1035
1924,"Chamonix, France",5000m Men,Clas Thunberg,FIN,GOLD,08:39.00,1035
1924,"Chamonix, France",5000m Men,Julius Skutnabb,FIN,SILVER,08:48.00,1035
1924,"Chamonix, France",5000m Men,Roald Larsen,NOR,BRONZE,08:50.00,1035
1924,"Chamonix, France",10000m Men,Julius Skutnabb,FIN,GOLD,18:04.00,1035
1924,"Chamonix, France",10000m Men,Clas Thunberg,FIN,SILVER,18:07.00,1035
1924,"Chamonix, France",10000m Men,Roald Larsen,NOR,BRONZE,18:12.00,1035
1924,"Chamonix, France",Four-Race Combined,Clas Thunberg,FIN,GOLD,00:05.50,1035
1924,"Chamonix, France",Four-Race Combined,Roald Larsen,NOR,SILVER,00:09.50,1035
1924,"Chamonix, France",Four-Race Combined,Julius Skutnabb,FIN,BRONZE,00:11.00,1035
1928,"St. Moritz, Switzerland",500m Men,Bæla Evensen,NOR,GOLD,00:43.40,1822
1928,"St. Moritz, Switzerland",500m Men,Clas Thunberg,FIN,GOLD,00:43.40,1822
1928,"St. Moritz, Switzerland",500m Men,John Farrell,USA,BRONZE,,1822
1928,"St. Moritz, Switzerland",500m Men,Jaako Friman,FIN,BRONZE,,1822
1928,"St. Moritz, Switzerland",500m Men,Roald Larsen,NOR,BRONZE,,1822
1928,"St. Moritz, Switzerland",1500m Men,Clas Thunberg,FIN,GOLD,02:21.00,1822
1928,"St. Moritz, Switzerland",1500m Men,Bæla Evensen,NOR,SILVER,02:21.00,1822
1928,"St. Moritz, Switzerland",1500m Men,Ivar Ballangrud,NOR,BRONZE,02:22.00,1822
1928,"St. Moritz, Switzerland",5000m Men,Ivar Ballangrud,NOR,GOLD,08:50.00,1822
1928,"St. Moritz, Switzerland",5000m Men,Julius Skutnabb,FIN,SILVER,08:59.00,1822
1928,"St. Moritz, Switzerland",5000m Men,Bæla Evensen,NOR,BRONZE,09:01.00,1822
1932,"Lake Placid, United States",500m Men,Jack Shea,USA,GOLD,00:43.40,568
1932,"Lake Placid, United States",500m Men,Bæla Evensen,NOR,SILVER,,568
1932,"Lake Placid, United States",500m Men,Alexander Hurd,CAN,BRONZE,,568
1932,"Lake Placid, United States",1500m Men,Jack Shea,USA,GOLD,02:57.00,568
1932,"Lake Placid, United States",1500m Men,Alexander Hurd,CAN,SILVER,,568
1932,"Lake Placid, United States",1500m Men,William Logan,CAN,BRONZE,,568
1932,"Lake Placid, United States",5000m Men,Irving Jaffee,USA,GOLD,09:40.00,568
1932,"Lake Placid, United States",5000m Men,Edward Murphy,USA,SILVER,,568
1932,"Lake Placid, United States",5000m Men,William Logan,CAN,BRONZE,,568
1932,"Lake Placid, United States",10000m Men,Irving Jaffee,USA,GOLD,19:13.00,568
1932,"Lake Placid, United States",10000m Men,Ivar Ballangrud,NOR,SILVER,,568
1932,"Lake Placid, United States",10000m Men,Frank Stack,CAN,BRONZE,,568
1936,"Garmisch-Partenkirchen, Germany",500m Men,Ivar Ballangrud,NOR,GOLD,00:43.40,708
1936,"Garmisch-Partenkirchen, Germany",500m Men,Georg Krog,NOR,SILVER,00:43.50,708
1936,"Garmisch-Partenkirchen, Germany",500m Men,Leo Freisinger,USA,BRONZE,00:44.00,708
1936,"Garmisch-Partenkirchen, Germany",1500m Men,Charles Mathiesen,NOR,GOLD,02:19.00,708
1936,"Garmisch-Partenkirchen, Germany",1500m Men,Ivar Ballangrud,NOR,SILVER,02:20.00,708
1936,"Garmisch-Partenkirchen, Germany",1500m Men,Birger Wasenius,FIN,BRONZE,02:20.00,708
1936,"Garmisch-Partenkirchen, Germany",5000m Men,Ivar Ballangrud,NOR,GOLD,08:19.00,708
1936,"Garmisch-Partenkirchen, Germany",5000m Men,Birger Wasenius,FIN,SILVER,08:23.00,708
1936,"Garmisch-Partenkirchen, Germany",5000m Men,Antero Ojala,FIN,BRONZE,08:30.00,708
1936,"Garmisch-Partenkirchen, Germany",10000m Men,Ivar Ballangrud,NOR,GOLD,17:24.00,708
1936,"Garmisch-Partenkirchen, Germany",10000m Men,Birger Wasenius,FIN,SILVER,17:28.00,708
1936,"Garmisch-Partenkirchen, Germany",10000m Men,Max Stiepl,AUT,BRONZE,17:30.00,708
1948,"St. Moritz, Switzerland",500m Men,Finn Helgesen,NOR,GOLD,00:43.10,1822
1948,"St. Moritz, Switzerland",500m Men,Ken Bartholomew,USA,SILVER,00:43.20,1822
1948,"St. Moritz, Switzerland",500m Men,Thomas Byberg,NOR,SILVER,00:43.20,1822
1948,"St. Moritz, Switzerland",500m Men,Robert Fitzgerald,USA,SILVER,00:43.20,1822
1948,"St. Moritz, Switzerland",1500m Men,Sverre Farstad,NOR,GOLD,02:17.00,1822
